========================================La matrice des p_values pour 3 lags est
========================================                  Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
L5.Δ_log_ETHUSDT       0.797430       0.820858       0.635152
L5.Δ_log_SOLUSDT       0.253452       0.623988       0.228784
L6.Δ_log_BTCUSDT       0.657497       0.846837       0.504078
L6.Δ_log_ETHUSDT       0.652895       0.635487       0.475792
L6.Δ_log_SOLUSDT       0.551180       0.922830       0.608908
L7.Δ_log_BTCUSDT       0.144060       0.073986       0.017083
L7.Δ_log_ETHUSDT       0.807093       0.564122       0.294073
L7.Δ_log_SOLUSDT       0.108188       0.002970       0.000022========================================La matrice de corrélation pour 7 lags est
========================================               Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
Δ_log_BTCUSDT       1.000000       0.789777       0.757727
Δ_log_ETHUSDT       0.789777       1.000000       0.747084
Δ_log_SOLUSDT       0.757727       0.747084       1.000000========================================La matrice des p_values pour 8 lags est
========================================                  Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
const                  0.562515       0.651518       0.805778
L1.Δ_log_BTCUSDT       0.000137       0.120710       0.073125
L1.Δ_log_ETHUSDT       0.809673       0.756795       0.227447
L1.Δ_log_SOLUSDT       0.000056       0.002969       0.030656
L2.Δ_log_BTCUSDT       0.480821       0.941762       0.913141
L2.Δ_log_ETHUSDT       0.390558       0.273572       0.001448
L2.Δ_log_SOLUSDT       0.023795       0.223594       0.007593
L3.Δ_log_BTCUSDT       0.009313       0.023819       0.001582
L3.Δ_log_ETHUSDT       0.229453       0.046312       0.002830
L3.Δ_log_SOLUSDT       0.428098       0.609791       0.912730
L4.Δ_log_BTCUSDT       0.859693       0.852710       0.668048
L4.Δ_log_ETHUSDT       0.781850       0.775906       0.402310
L4.Δ_log_SOLUSDT       0.177733       0.409246       0.666562
L5.Δ_log_BTCUSDT       0.493793       0.244299       0.987020
L5.Δ_log_ETHUSDT       0.818083       0.809197       0.611075
L5.Δ_log_SOLUSDT       0.231000       0.713920       0.215583
L6.Δ_log_BTCUSDT       0.631759       0.839694       0.484630
L6.Δ_log_ETHUSDT       0.629178       0.597002       0.470111
L6.Δ_log_SOLUSDT       0.537694       0.844622       0.619813
L7.Δ_log_BTCUSDT       0.128675       0.075467       0.017472
L7.Δ_log_ETHUSDT       0.725733       0.492139       0.258409
L7.Δ_log_SOLUSDT       0.078629       0.002381       0.000018
L8.Δ_log_BTCUSDT       0.668630       0.170479       0.512259
L8.Δ_log_ETHUSDT       0.393938       0.020207       0.718353
L8.Δ_log_SOLUSDT       0.159996       0.067362       0.524394========================================La matrice de corrélation pour 8 lags est
========================================               Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
Δ_log_BTCUSDT       1.000000       0.789719       0.757618
Δ_log_ETHUSDT       0.789719       1.000000       0.747222
Δ_log_SOLUSDT       0.757618       0.747222       1.000000========================================La matrice des p_values pour 9 lags est
========================================                  Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
const                  0.558165       0.657710       0.804512
L1.Δ_log_BTCUSDT       0.000140       0.120037       0.071157
L1.Δ_log_ETHUSDT       0.816103       0.752619       0.201730
L1.Δ_log_SOLUSDT       0.000051       0.002899       0.035714
L2.Δ_log_BTCUSDT       0.470170       0.931645       0.899960
L2.Δ_log_ETHUSDT       0.397574       0.271732       0.001450
L2.Δ_log_SOLUSDT       0.024601       0.234597       0.009288
L3.Δ_log_BTCUSDT       0.008445       0.023773       0.001395
L3.Δ_log_ETHUSDT       0.213475       0.046032       0.002442
L3.Δ_log_SOLUSDT       0.433955       0.610010       0.913614
L4.Δ_log_BTCUSDT       0.871719       0.866758       0.685756
